image_path,image_filename,page_number,cell_type,binary_label,description,full_text,source
/content/blood_cell_dataset/images/page_4_img_3_healthy.jpg,page_4_img_3_healthy.jpg,4,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"04
The cells are 10–15 μm in diameter, round-shaped with typically rod-shaped,
band-like, or sausage-like nuclei, having coarse, agglutinated nuclear
chromatin in deep violet-pink color. The cytoplasm is abundant and pink,
with a large number of small violet-pink granules.
Band Neutrophil Granulocytes",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_4_img_4_healthy.jpg,page_4_img_4_healthy.jpg,4,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"04
The cells are 10–15 μm in diameter, round-shaped with typically rod-shaped,
band-like, or sausage-like nuclei, having coarse, agglutinated nuclear
chromatin in deep violet-pink color. The cytoplasm is abundant and pink,
with a large number of small violet-pink granules.
Band Neutrophil Granulocytes",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_4_img_6_healthy.jpg,page_4_img_6_healthy.jpg,4,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"04
The cells are 10–15 μm in diameter, round-shaped with typically rod-shaped,
band-like, or sausage-like nuclei, having coarse, agglutinated nuclear
chromatin in deep violet-pink color. The cytoplasm is abundant and pink,
with a large number of small violet-pink granules.
Band Neutrophil Granulocytes",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_4_img_7_healthy.jpg,page_4_img_7_healthy.jpg,4,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"04
The cells are 10–15 μm in diameter, round-shaped with typically rod-shaped,
band-like, or sausage-like nuclei, having coarse, agglutinated nuclear
chromatin in deep violet-pink color. The cytoplasm is abundant and pink,
with a large number of small violet-pink granules.
Band Neutrophil Granulocytes",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_2_healthy.jpg,page_5_img_2_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_3_healthy.jpg,page_5_img_3_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_5_healthy.jpg,page_5_img_5_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_6_healthy.jpg,page_5_img_6_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_8_healthy.jpg,page_5_img_8_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
/content/blood_cell_dataset/images/page_5_img_9_healthy.jpg,page_5_img_9_healthy.jpg,5,Band Neutrophils,healthy,Normal neutrophils with band nuclei,"05
Band neutrophil granulocytes increased or/and the presence of
metamyelocytes, myelocytes, or even promyelocytes in peripheral blood are
referred to as a ""left shift"" and commonly seen in infections (especially acute
septic infections), acute poisoning, acute blood loss, and aplastic anemia.",Blood Cell Atlas PDF
